0,1120
1,56
2,36
3,72
4,80
5,94
6,72
7,69
8,76
9,32
10,65
11,58
12,57
13,57
14,72
15,74
16,88
17,60
18,55
19,55
20,58
21,76
22,56
23,67
24,25
25,60
26,57
27,58
28,57
29,75
30,56
31,51
32,94
33,60
34,33
35,42
36,28
37,26
38,36
39,26
40,52
41,24
42,28
43,35
44,35
45,26
46,65
47,52
48,37
49,58
50,36
51,32
52,54
53,50
54,50
55,51
56,110
57,51
58,136
59,59
60,45
61,72
62,38
63,59
64,80
65,25
66,26
67,55
68,33
69,50
70,83
71,49
72,149
73,107
74,54
75,55
76,95
77,75
78,63
79,37
80,37
81,58
82,29
83,73
84,94
85,28
86,56
87,32
88,48
89,28
90,76
91,97
92,81
93,66
94,58
95,59
96,56
97,102
98,44
99,53
